1;arms_factory;3556.00;15.93;937.00;3.35;0
1;arms_factory;3517.00;16.45;926.00;6.01;0
1;arms_factory;3544.00;11.53;1012.00;2.40;0
1;arms_factory;3508.00;19.25;940.00;3.96;0
1;arms_factory;3555.00;11.80;1029.00;1.80;0
1;arms_factory;3498.00;16.10;873.00;3.00;0
1;industrial_complex;3490.00;21.45;992.00;0.84;0
1;industrial_complex;3488.00;20.83;1033.00;2.40;0
1;industrial_complex;3539.00;13.45;998.00;5.07;0
1;industrial_complex;3487.00;20.18;1046.00;1.45;0
1;industrial_complex;3553.00;17.10;880.00;4.47;0
1;industrial_complex;3568.00;15.73;928.00;0.85;0
1;air_base;3498.00;20.08;1014.00;3.51;0
1;bunker;3522.00;12.28;854.00;1.35;0
1;bunker;3502.00;18.25;1100.00;1.46;0
1;bunker;3558.00;17.40;924.00;5.58;0
1;bunker;3474.00;19.50;1066.00;1.96;0
1;bunker;3528.00;16.52;943.00;6.08;0
1;bunker;3500.00;16.08;877.00;6.18;0
1;bunker;3487.00;21.08;1032.00;4.02;0
1;bunker;3459.00;22.77;944.00;0.41;0
1;bunker;3454.00;16.20;1103.00;3.07;0
1;bunker;3521.00;16.43;1044.00;6.09;0
1;bunker;3457.00;18.77;1020.00;2.47;0
1;bunker;3501.00;18.58;972.00;5.13;0
1;bunker;3527.00;16.15;985.00;1.52;0
1;bunker;3468.00;21.52;944.00;4.54;0
1;bunker;3529.00;13.80;1028.00;5.74;0
1;bunker;3546.00;16.05;883.00;3.58;0
1;bunker;3545.00;16.15;949.00;5.14;0
1;bunker;3528.00;16.73;901.00;1.52;0
1;bunker;3482.00;17.12;1132.00;4.19;0
1;bunker;3566.00;14.82;957.00;2.03;0
1;bunker;3510.00;17.77;913.00;5.05;0
1;bunker;3502.00;19.20;1004.00;6.25;0
1;anti_air_building;3452.00;20.55;967.00;4.09;0
1;anti_air_building;3528.00;17.05;904.00;0.47;0
1;anti_air_building;3502.00;18.98;924.00;2.04;0
#1;synthetic_refinery;3536.00;13.55;1010.00;4.70;0
1;fuel_silo;3516.00;16.12;1031.00;2.54;0
1;radar_station;3515.00;16.62;1000.00;5.51;0
1;rocket_site;3509.00;15.95;884.00;0.48;0
1;nuclear_reactor;3460.00;20.80;991.00;3.14;0
2;arms_factory;2812.00;16.18;686.00;0.84;0
2;arms_factory;3056.00;18.35;565.00;2.40;0
2;arms_factory;2833.00;16.50;657.00;5.07;0
2;arms_factory;2867.00;18.27;677.00;1.45;0
2;arms_factory;2855.00;18.60;679.00;4.47;0
2;arms_factory;2809.00;10.43;630.00;0.85;0
2;industrial_complex;2820.00;15.85;857.00;3.51;0
2;industrial_complex;2878.00;18.12;628.00;1.35;0
2;industrial_complex;2981.00;20.10;579.00;1.46;0
2;industrial_complex;2872.00;12.35;784.00;5.58;0
2;industrial_complex;2875.00;14.62;797.00;1.96;0
2;industrial_complex;2821.00;19.95;781.00;6.08;0
2;air_base;2898.00;20.55;564.00;6.18;0
2;bunker;2943.00;20.68;570.00;4.02;0
2;bunker;2847.00;16.88;692.00;0.41;0
2;bunker;2805.00;16.75;814.00;3.07;0
2;bunker;2862.00;18.75;645.00;6.09;0
