1;3895.00;10.85;952.00;big
1;3942.00;9.93;1040.00;big
2;3761.00;11.30;1166.00;big
2;3723.00;11.50;1431.00;big
3;3509.00;10.60;646.00;big
3;3419.00;10.68;548.00;big
4;3622.00;14.53;997.00;big
4;3654.00;10.78;1035.00;big
5;3532.00;17.70;910.00;big
5;3482.00;21.23;1036.00;big
6;3488.00;9.90;571.00;big
6;3523.00;10.15;600.00;big
7;2846.00;16.60;751.00;big
7;2980.00;20.50;572.00;big
8;2857.00;20.75;1234.00;big
8;2802.00;20.00;1099.00;big
9;2167.00;14.43;1236.00;big
9;2166.00;18.15;1194.00;big
10;2006.00;14.85;1169.00;big
10;1976.00;14.60;1193.00;big
11;2025.00;16.50;1514.00;big
11;1965.00;15.30;1519.00;big
12;3202.00;13.03;485.00;big
12;3281.00;14.35;720.00;big
13;3267.00;10.03;655.00;big
13;3235.00;9.98;645.00;big
14;2934.00;16.30;833.00;big
14;3001.00;15.88;826.00;big
15;2988.00;14.03;1166.00;big
15;2940.00;10.95;1193.00;big
16;3067.00;10.80;1579.00;big
16;3028.00;10.00;1604.00;big
17;3531.00;10.85;1755.00;big
17;3455.00;10.10;1782.00;big
18;3223.00;15.80;988.00;big
18;3286.00;11.73;1275.00;big
19;3374.00;15.95;1500.00;big
19;3453.00;10.82;1718.00;big
20;2970.00;11.10;327.00;big
20;3009.00;10.35;328.00;big
21;2706.00;12.80;200.00;big
21;2658.00;12.07;199.00;big
22;2061.00;10.28;554.00;big
22;2051.00;11.10;610.00;big
23;2003.00;11.05;1067.00;big
23;2057.00;11.40;1045.00;big
24;2903.00;15.07;997.00;big
24;2778.00;14.70;948.00;big
25;2522.00;12.60;904.00;big
25;2466.00;15.35;900.00;big
26;2488.00;12.12;1522.00;big
26;2745.00;12.07;1586.00;big
27;1940.00;10.90;1450.00;big
27;1882.00;12.40;1486.00;big
28;2089.00;9.90;1400.00;big
28;1809.00;11.80;1579.00;big
29;2604.00;10.95;236.00;big
29;2904.00;11.82;308.00;big
30;2673.00;11.50;586.00;big
30;2374.00;17.08;577.00;big
31;2307.00;11.12;1053.00;big
31;2549.00;14.60;967.00;big
32;2981.00;11.82;1327.00;big
32;2610.00;12.78;1303.00;big
33;2971.00;10.60;1604.00;big
33;3185.00;11.05;1649.00;big
34;2066.00;11.70;917.00;big
34;1761.00;10.10;1014.00;big
36;2968.00;16.50;884.00;big
36;2988.00;12.75;707.00;big
37;4333.00;9.50;1052.00;big
37;1517.00;9.50;1066.00;big
38;2002.00;10.98;457.00;big
38;2163.00;13.05;566.00;big
39;2088.00;10.60;641.00;big
39;2074.00;10.00;528.00;big
40;3700.00;11.95;926.00;big
40;3660.00;11.25;732.00;big
